Geography,Geographic Area Name,totalpop,hispanic_latino,white,black,american_indian,asian,native_hawaiian,other
1400000US06001440308,"Census Tract 4403.08, Alameda County, California",5946,1718,734,216,18,2875,136,22
1400000US06001440331,"Census Tract 4403.31, Alameda County, California",3323,639,283,158,4,2031,58,12
1400000US06001440332,"Census Tract 4403.32, Alameda County, California",3034,162,227,99,0,2396,7,14
1400000US06001440333,"Census Tract 4403.33, Alameda County, California",2787,213,186,126,1,2105,23,0
1400000US06001440334,"Census Tract 4403.34, Alameda County, California",4083,684,390,173,2,2572,42,10
1400000US06001440336,"Census Tract 4403.36, Alameda County, California",4583,1040,639,236,9,2425,62,12
1400000US06001440337,"Census Tract 4403.37, Alameda County, California",2708,227,209,81,2,2070,11,10
1400000US06001440338,"Census Tract 4403.38, Alameda County, California",4305,460,470,199,7,2863,30,35
1400000US06001441100,"Census Tract 4411, Alameda County, California",4504,684,1627,107,22,1718,11,42
1400000US06001441200,"Census Tract 4412, Alameda County, California",7277,1201,2293,139,19,3112,16,52
1400000US06001441301,"Census Tract 4413.01, Alameda County, California",3248,290,617,96,6,2066,9,16
1400000US06001441302,"Census Tract 4413.02, Alameda County, California",5661,706,1204,135,16,3323,16,33
1400000US06001441401,"Census Tract 4414.01, Alameda County, California",7319,855,1046,214,4,4805,49,30
1400000US06001441402,"Census Tract 4414.02, Alameda County, California",5293,465,871,153,10,3511,19,24
1400000US06001441501,"Census Tract 4415.01, Alameda County, California",5913,408,593,213,16,4355,34,22
1400000US06001441503,"Census Tract 4415.03, Alameda County, California",7763,249,475,101,10,6708,8,34
1400000US06001441521,"Census Tract 4415.21, Alameda County, California",5779,385,719,118,4,4289,64,14
1400000US06001441522,"Census Tract 4415.22, Alameda County, California",4868,574,543,145,2,3397,25,30
1400000US06001441523,"Census Tract 4415.23, Alameda County, California",4169,215,368,120,7,3301,26,19
1400000US06001441524,"Census Tract 4415.24, Alameda County, California",4040,165,327,81,4,3323,10,9
1400000US06001441525,"Census Tract 4415.25, Alameda County, California",1632,105,117,56,2,1327,0,9
1400000US06001441601,"Census Tract 4416.01, Alameda County, California",4641,890,1075,137,5,2249,42,23
1400000US06001441602,"Census Tract 4416.02, Alameda County, California",7220,1704,1177,250,8,3608,78,17
1400000US06001441701,"Census Tract 4417.01, Alameda County, California",3846,1014,553,98,8,1969,50,28
1400000US06001441702,"Census Tract 4417.02, Alameda County, California",5728,943,1077,402,44,2937,26,62
1400000US06001441800,"Census Tract 4418, Alameda County, California",7195,1081,1537,193,14,4046,28,54
1400000US06001441921,"Census Tract 4419.21, Alameda County, California",3718,954,694,105,6,1782,27,16
1400000US06001441923,"Census Tract 4419.23, Alameda County, California",6333,778,828,206,28,4177,28,116
1400000US06001441924,"Census Tract 4419.24, Alameda County, California",7619,896,1211,183,13,4935,27,19
